seed_origin,line_id,Species,subspecies,race,teosinte_acc_id,gen,F1,BC1,BC2,S1,S2,S3,blk
GDL12-601x501-1,Zx.18.2.1.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.18,BC1F1,2,1,0,0,0,0,0
GDL12-601x501-1,Zx.18.2.2.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.18,BC1F1,2,2,0,0,0,0,0
GDL12-601x501-1,Zx.18.2.3.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.18,BC1F1,2,3,0,0,0,0,0
GDL12-601x501-1,Zx.18.2.4.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.18,BC1F1,2,4,0,0,0,0,0
GDL12-601x502-1,Zx.19.2.1.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.19,BC1F1,2,1,0,0,0,0,0
GDL12-601x502-1,Zx.19.2.2.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.19,BC1F1,2,2,0,0,0,0,0
GDL12-601x502-1,Zx.19.2.3.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.19,BC1F1,2,3,0,0,0,0,0
GDL12-601x502-1,Zx.19.2.4.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.19,BC1F1,2,4,0,0,0,0,0
GDL12-601x502-1,Zx.19.2.5.0.0.0.0.0,Zea_mays,mexicana,mesa,Zx.19,BC1F1,2,5,0,0,0,0,0
GDL12-601x504-1,Zx.1.4.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.1,BC1F1,4,1,0,0,0,0,0
GDL12-601x504-1,Zx.1.4.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.1,BC1F1,4,2,0,0,0,0,0
GDL12-601x504-1,Zx.1.4.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.1,BC1F1,4,3,0,0,0,0,0
GDL12-601x504-1,Zx.1.4.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.1,BC1F1,4,4,0,0,0,0,0
GDL12-601x504-1,Zx.1.4.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.1,BC1F1,4,5,0,0,0,0,0
GDL12-601x505-1,Zx.2.4.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.2,BC1F1,4,1,0,0,0,0,0
GDL12-601x505-1,Zx.2.4.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.2,BC1F1,4,2,0,0,0,0,0
GDL12-601x505-1,Zx.2.4.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.2,BC1F1,4,3,0,0,0,0,0
GDL12-601x505-1,Zx.2.4.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.2,BC1F1,4,4,0,0,0,0,0
GDL12-601x506-1,Zx.3.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.3,BC1F1,2,1,0,0,0,0,0
GDL12-601x506-1,Zx.3.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.3,BC1F1,2,2,0,0,0,0,0
GDL12-601x506-1,Zx.3.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.3,BC1F1,2,3,0,0,0,0,0
GDL12-601x506-1,Zx.3.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.3,BC1F1,2,4,0,0,0,0,0
GDL12-601x506-1,Zx.3.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.3,BC1F1,2,5,0,0,0,0,0
GDL12-601x507-1,Zx.4.1.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.4,BC1F1,1,1,0,0,0,0,0
GDL12-601x507-1,Zx.4.1.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.4,BC1F1,1,2,0,0,0,0,0
GDL12-601x507-1,Zx.4.1.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.4,BC1F1,1,3,0,0,0,0,0
GDL12-601x507-1,Zx.4.1.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.4,BC1F1,1,4,0,0,0,0,0
GDL12-601x508-1,Zx.5.1.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.5,BC1F1,1,1,0,0,0,0,0
GDL12-601x508-1,Zx.5.1.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.5,BC1F1,1,2,0,0,0,0,0
GDL12-601x508-1,Zx.5.1.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.5,BC1F1,1,3,0,0,0,0,0
GDL12-601x508-1,Zx.5.1.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.5,BC1F1,1,4,0,0,0,0,0
GDL12-601x509-1,Zx.6.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.6,BC1F1,2,1,0,0,0,0,0
GDL12-601x509-1,Zx.6.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.6,BC1F1,2,2,0,0,0,0,0
GDL12-601x509-1,Zx.6.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.6,BC1F1,2,3,0,0,0,0,0
GDL12-601x509-1,Zx.6.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.6,BC1F1,2,4,0,0,0,0,0
GDL12-601x509-1,Zx.6.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.6,BC1F1,2,5,0,0,0,0,0
GDL12-601x510-1,Zx.7.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.7,BC1F1,2,1,0,0,0,0,0
GDL12-601x510-1,Zx.7.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.7,BC1F1,2,2,0,0,0,0,0
GDL12-601x510-1,Zx.7.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.7,BC1F1,2,3,0,0,0,0,0
GDL12-601x510-1,Zx.7.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.7,BC1F1,2,4,0,0,0,0,0
GDL12-601x510-1,Zx.7.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.7,BC1F1,2,5,0,0,0,0,0
GDL12-601x511-1,Zx.8.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.8,BC1F1,2,1,0,0,0,0,0
GDL12-601x511-1,Zx.8.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.8,BC1F1,2,2,0,0,0,0,0
GDL12-601x511-1,Zx.8.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.8,BC1F1,2,3,0,0,0,0,0
GDL12-601x511-1,Zx.8.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.8,BC1F1,2,4,0,0,0,0,0
GDL12-601x511-1,Zx.8.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.8,BC1F1,2,5,0,0,0,0,0
GDL12-601x512-1,Zx.9.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.9,BC1F1,2,1,0,0,0,0,0
GDL12-601x512-1,Zx.9.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.9,BC1F1,2,2,0,0,0,0,0
GDL12-601x512-1,Zx.9.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.9,BC1F1,2,4,0,0,0,0,0
GDL12-601x513-1,Zx.10.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.10,BC1F1,2,1,0,0,0,0,0
GDL12-601x513-1,Zx.10.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.10,BC1F1,2,2,0,0,0,0,0
GDL12-601x513-1,Zx.10.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.10,BC1F1,2,3,0,0,0,0,0
GDL12-601x513-1,Zx.10.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.10,BC1F1,2,4,0,0,0,0,0
GDL12-601x513-1,Zx.10.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.10,BC1F1,2,5,0,0,0,0,0
GDL12-601x514-1,Zx.11.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.11,BC1F1,2,1,0,0,0,0,0
GDL12-601x514-1,Zx.11.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.11,BC1F1,2,2,0,0,0,0,0
GDL12-601x514-1,Zx.11.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.11,BC1F1,2,3,0,0,0,0,0
GDL12-601x514-1,Zx.11.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.11,BC1F1,2,4,0,0,0,0,0
GDL12-601x514-1,Zx.11.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.11,BC1F1,2,5,0,0,0,0,0
GDL12-601x515-1,Zx.12.2.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.12,BC1F1,2,1,0,0,0,0,0
GDL12-601x515-1,Zx.12.2.2.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.12,BC1F1,2,2,0,0,0,0,0
GDL12-601x515-1,Zx.12.2.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.12,BC1F1,2,3,0,0,0,0,0
GDL12-601x515-1,Zx.12.2.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.12,BC1F1,2,4,0,0,0,0,0
GDL12-601x515-1,Zx.12.2.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.12,BC1F1,2,5,0,0,0,0,0
GDL12-601x516-1,Zx.14.3.1.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.14,BC1F1,3,1,0,0,0,0,0
GDL12-601x516-1,Zx.14.3.3.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.14,BC1F1,3,3,0,0,0,0,0
GDL12-601x516-1,Zx.14.3.4.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.14,BC1F1,3,4,0,0,0,0,0
GDL12-601x516-1,Zx.14.3.5.0.0.0.0.0,Zea_mays,mexicana,chalco,Zx.14,BC1F1,3,5,0,0,0,0,0
